[299.0, 299.0, 299.0, 160.0, 299.0]
[310.0, 310.0, 161.0, 310.0, 310.0]
[161.0, 280.2, 161.0, 161.0, 161.0]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[28.0, 28.0, 28.0, 28.0, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[280.2, 280.2, 184.84, 280.2, 280.2]
[184.84, 261.13, 184.84, 184.84, 184.84]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[77.8, 77.8, 77.8, 77.8, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[261.13, 261.13, 200.1, 261.13, 261.13]
[200.1, 248.92, 200.1, 200.1, 200.1]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[117.64, 117.64, 117.64, 117.64, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[248.92, 248.92, 209.86, 248.92, 248.92]
[209.86, 241.11, 209.86, 209.86, 209.86]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[149.51, 149.51, 149.51, 149.51, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[241.11, 241.11, 216.11, 241.11, 241.11]
[216.11, 236.11, 216.11, 216.11, 216.11]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[175.01, 175.01, 175.01, 175.01, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[236.11, 236.11, 220.11, 236.11, 236.11]
[220.11, 232.91, 220.11, 220.11, 220.11]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[195.41, 195.41, 195.41, 195.41, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[232.91, 232.91, 222.67, 232.91, 232.91]
[222.67, 230.86, 222.67, 222.67, 222.67]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[211.73, 211.73, 211.73, 211.73, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[230.86, 230.86, 224.31, 230.86, 230.86]
[224.31, 229.55, 224.31, 224.31, 224.31]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[224.78, 224.78, 224.78, 224.78, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[229.55, 229.55, 225.36, 229.55, 229.55]
[225.36, 228.71, 225.36, 225.36, 225.36]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[235.22, 235.22, 235.22, 235.22, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[228.71, 228.71, 226.03, 228.71, 228.71]
[226.03, 228.17, 226.03, 226.03, 226.03]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[243.58, 243.58, 243.58, 243.58, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[228.17, 228.17, 226.46, 228.17, 228.17]
[226.46, 227.83, 226.46, 226.46, 226.46]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[250.26, 250.26, 250.26, 250.26, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.83, 227.83, 226.73, 227.83, 227.83]
[226.73, 227.61, 226.73, 226.73, 226.73]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[255.61, 255.61, 255.61, 255.61, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.61, 227.61, 226.91, 227.61, 227.61]
[226.91, 227.47, 226.91, 226.91, 226.91]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[259.89, 259.89, 259.89, 259.89, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.47, 227.47, 227.02, 227.47, 227.47]
[227.02, 227.38, 227.02, 227.02, 227.02]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[263.31, 263.31, 263.31, 263.31, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.38, 227.38, 227.09, 227.38, 227.38]
[227.09, 227.32, 227.09, 227.09, 227.09]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[266.05, 266.05, 266.05, 266.05, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.32, 227.32, 227.14, 227.32, 227.32]
[227.14, 227.28, 227.14, 227.14, 227.14]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[268.24, 268.24, 268.24, 268.24, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.28, 227.28, 227.17, 227.28, 227.28]
[227.17, 227.26, 227.17, 227.17, 227.17]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[269.99, 269.99, 269.99, 269.99, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.26, 227.26, 227.19, 227.26, 227.26]
[227.19, 227.25, 227.19, 227.19, 227.19]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[271.39, 271.39, 271.39, 271.39, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.25, 227.25, 227.2, 227.25, 227.25]
[227.2, 227.24, 227.2, 227.2, 227.2]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[272.51, 272.51, 272.51, 272.51, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.24, 227.24, 227.21, 227.24, 227.24]
[227.21, 227.23, 227.21, 227.21, 227.21]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[273.41, 273.41, 273.41, 273.41, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.23, 227.23, 227.21, 227.23, 227.23]
[227.21, 227.23, 227.21, 227.21, 227.21]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[274.13, 274.13, 274.13, 274.13, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.23, 227.23, 227.21, 227.23, 227.23]
[227.21, 227.23, 227.21, 227.21, 227.21]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[274.7, 274.7, 274.7, 274.7, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.23, 227.23, 227.21, 227.23, 227.23]
[227.21, 227.23, 227.21, 227.21, 227.21]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[275.16, 275.16, 275.16, 275.16, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.23, 227.23, 227.21, 227.23, 227.23]
[227.21, 227.23, 227.21, 227.21, 227.21]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[275.53, 275.53, 275.53, 275.53, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.23, 227.23, 227.21, 227.23, 227.23]
[227.21, 227.23, 227.21, 227.21, 227.21]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[275.82, 275.82, 275.82, 275.82, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.23, 227.23, 227.21, 227.23, 227.23]
[227.21, 227.23, 227.21, 227.21, 227.21]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[276.06, 276.06, 276.06, 276.06, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.23, 227.23, 227.21, 227.23, 227.23]
[227.21, 227.23, 227.21, 227.21, 227.21]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[276.25, 276.25, 276.25, 276.25, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.23, 227.23, 227.21, 227.23, 227.23]
[227.21, 227.23, 227.21, 227.21, 227.21]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[276.4, 276.4, 276.4, 276.4, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.23, 227.23, 227.21, 227.23, 227.23]
[227.21, 227.23, 227.21, 227.21, 227.21]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[276.52, 276.52, 276.52, 276.52, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.23, 227.23, 227.21, 227.23, 227.23]
[227.21, 227.23, 227.21, 227.21, 227.21]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[276.62, 276.62, 276.62, 276.62, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.23, 227.23, 227.21, 227.23, 227.23]
[227.21, 227.23, 227.21, 227.21, 227.21]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[276.7, 276.7, 276.7, 276.7, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.23, 227.23, 227.21, 227.23, 227.23]
[227.21, 227.23, 227.21, 227.21, 227.21]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[276.76, 276.76, 276.76, 276.76, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.23, 227.23, 227.21, 227.23, 227.23]
[227.21, 227.23, 227.21, 227.21, 227.21]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[276.81, 276.81, 276.81, 276.81, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.23, 227.23, 227.21, 227.23, 227.23]
[227.21, 227.23, 227.21, 227.21, 227.21]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[276.85, 276.85, 276.85, 276.85, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.23, 227.23, 227.21, 227.23, 227.23]
[227.21, 227.23, 227.21, 227.21, 227.21]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[276.88, 276.88, 276.88, 276.88, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.23, 227.23, 227.21, 227.23, 227.23]
[227.21, 227.23, 227.21, 227.21, 227.21]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[276.9, 276.9, 276.9, 276.9, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.23, 227.23, 227.21, 227.23, 227.23]
[227.21, 227.23, 227.21, 227.21, 227.21]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[276.92, 276.92, 276.92, 276.92, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.23, 227.23, 227.21, 227.23, 227.23]
[227.21, 227.23, 227.21, 227.21, 227.21]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[276.94, 276.94, 276.94, 276.94, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.23, 227.23, 227.21, 227.23, 227.23]
[227.21, 227.23, 227.21, 227.21, 227.21]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[276.95, 276.95, 276.95, 276.95, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.23, 227.23, 227.21, 227.23, 227.23]
[227.21, 227.23, 227.21, 227.21, 227.21]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[276.96, 276.96, 276.96, 276.96, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.23, 227.23, 227.21, 227.23, 227.23]
[227.21, 227.23, 227.21, 227.21, 227.21]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[276.97, 276.97, 276.97, 276.97, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.23, 227.23, 227.21, 227.23, 227.23]
[227.21, 227.23, 227.21, 227.21, 227.21]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[276.98, 276.98, 276.98, 276.98, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.23, 227.23, 227.21, 227.23, 227.23]
[227.21, 227.23, 227.21, 227.21, 227.21]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[276.98, 276.98, 276.98, 276.98, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.23, 227.23, 227.21, 227.23, 227.23]
[227.21, 227.23, 227.21, 227.21, 227.21]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[276.98, 276.98, 276.98, 276.98, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.23, 227.23, 227.21, 227.23, 227.23]
[227.21, 227.23, 227.21, 227.21, 227.21]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[276.98, 276.98, 276.98, 276.98, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.23, 227.23, 227.21, 227.23, 227.23]
[227.21, 227.21, 227.21, 227.21, 227.21]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[276.98, 276.98, 276.98, 276.98, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.23, 227.23, 227.23, 227.23, 227.23]
[227.21, 227.21, 227.21, 227.21, 227.21]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[276.98, 276.98, 276.98, 276.98, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.23, 227.23, 227.23, 227.23, 227.23]
[227.21, 227.21, 227.21, 227.21, 227.21]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[276.98, 276.98, 276.98, 276.98, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.23, 227.23, 227.23, 227.23, 227.23]
[227.21, 227.21, 227.21, 227.21, 227.21]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[276.98, 276.98, 276.98, 276.98, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.23, 227.23, 227.23, 227.23, 227.23]
[227.21, 227.21, 227.21, 227.21, 227.21]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[276.98, 276.98, 276.98, 276.98, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.23, 227.23, 227.23, 227.23, 227.23]
[227.21, 227.21, 227.21, 227.21, 227.21]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[276.98, 276.98, 276.98, 276.98, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.23, 227.23, 227.23, 227.23, 227.23]
[227.21, 227.21, 227.21, 227.21, 227.21]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[276.98, 276.98, 276.98, 276.98, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
[324.0, 324.0, 324.0, 324.0, 324.0]
[227.23, 227.23, 227.23, 227.23, 227.23]
[227.21, 227.21, 227.21, 227.21, 227.21]
[270.0, 270.0, 270.0, 270.0, 270.0]
[277.0, 277.0, 277.0, 277.0, 277.0]
[276.98, 276.98, 276.98, 276.98, 277.0]
[43.0, 43.0, 43.0, 43.0, 43.0]
[144.0, 144.0, 144.0, 144.0, 144.0]
